precision,recall,f1,average_precision,pr_auc,false_negative_rate,tp,fp,tn,fn,support,method,aggregation,class,threshold,fn_cost,fp_cost,cost,count_aggregation
0.30578512396694213,0.24183006535947713,0.2700729927007299,0.24698000677289597,0.24424065857003707,0.7581699346405228,37.0,84.0,2277.0,116.0,153.0,vae_oversampled,per_class,class_4,0.5,10.0,1.0,1244.0,
0.4935598819546355,0.46989974155221476,0.467537266786363,0.5124019970368381,0.510034711198097,0.5301002584477852,223.25,117.0,2041.75,132.0,355.25,vae_oversampled,macro,macro_avg,0.5,10.0,1.0,1437.0,mean_per_class
,,,,,,893.0,468.0,8167.0,528.0,1421.0,vae_oversampled,total,all_classes,0.5,10.0,1.0,5748.0,sum_over_classes
0.6976744186046512,0.32608695652173914,0.4444444444444445,0.5455977732540587,0.5447720395240715,0.6739130434782609,60.0,26.0,2304.0,124.0,184.0,gan_oversampled,per_class,class_1,0.5,10.0,1.0,1266.0,
0.52,0.52,0.52,0.5465017792572534,0.5379555658606087,0.48,26.0,24.0,2440.0,24.0,50.0,gan_oversampled,per_class,class_2,0.5,10.0,1.0,264.0,
0.796149490373726,0.6798839458413927,0.7334376630151279,0.8214196924413782,0.8212677967180559,0.32011605415860733,703.0,180.0,1300.0,331.0,1034.0,gan_oversampled,per_class,class_3,0.5,10.0,1.0,3490.0,
0.4225352112676056,0.39215686274509803,0.4067796610169491,0.37957441875654524,0.37427858215223825,0.6078431372549019,60.0,82.0,2279.0,93.0,153.0,gan_oversampled,per_class,class_4,0.5,10.0,1.0,1012.0,
0.6090897800614956,0.47953194127705745,0.5261654421191303,0.5732734159273088,0.5695684960637436,0.5204680587229426,212.25,78.0,2080.75,143.0,355.25,gan_oversampled,macro,macro_avg,0.5,10.0,1.0,1508.0,mean_per_class
,,,,,,849.0,312.0,8323.0,572.0,1421.0,gan_oversampled,total,all_classes,0.5,10.0,1.0,6032.0,sum_over_classes
0.8,0.1956521739130435,0.314410480349345,0.5031785891450616,0.5021692258156412,0.8043478260869565,36.0,9.0,2321.0,148.0,184.0,rl_oversampled,per_class,class_1,0.5,10.0,1.0,1489.0,
0.5,0.34,0.40476190476190477,0.4177837457301015,0.4056663894917168,0.66,17.0,17.0,2447.0,33.0,50.0,rl_oversampled,per_class,class_2,0.5,10.0,1.0,347.0,
0.6576797385620915,0.7785299806576402,0.713020372010629,0.7810635679547048,0.7808737656856437,0.22147001934235977,805.0,419.0,1061.0,229.0,1034.0,rl_oversampled,per_class,class_3,0.5,10.0,1.0,2709.0,
0.5263157894736842,0.19607843137254902,0.2857142857142857,0.33671090372571055,0.3312158503247893,0.803921568627451,30.0,27.0,2334.0,123.0,153.0,rl_oversampled,per_class,class_4,0.5,10.0,1.0,1257.0,
0.6209988820089439,0.3775651464858082,0.42947676070904106,0.5096842016388947,0.5049813078294477,0.6224348535141919,222.0,118.0,2040.75,133.25,355.25,rl_oversampled,macro,macro_avg,0.5,10.0,1.0,1450.5,mean_per_class
,,,,,,888.0,472.0,8163.0,533.0,1421.0,rl_oversampled,total,all_classes,0.5,10.0,1.0,5802.0,sum_over_classes
